,ADDRESSBLOCKHOUSENUMBER,LATITUDE,EST_ORIGINAL_COMPLETION_DATE,STATUS,NO_OF_FOOD_STALLS,REGION,APPROXIMATE_GFA,LONGITUDE,NO_OF_MARKET_STALLS,DESCRIPTION,NAME,RNR_STATUS,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,LON,LAT
35, 505  ,1.30287397,1/1/1975,Existing,112,Central,6249.229,103.8638763,111,HUP Standard Upgrading,Golden Mile Food Centre,01/12/2020 to 28/02/2021,Beach Road,199583,KALLANG,KL,CENTRAL REGION,CR,103.863883249985,1.30287548090781
36, 13/14  ,1.31518996,30/7/1977,Existing,72,East,,103.8956528,146,HUP Reconfiguration,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),Completed,Haig Road,430013,GEYLANG,GL,CENTRAL REGION,CR,103.895609494855,1.3151420505272
37, 22A/B  ,1.28804004,16/11/1969,Existing,30,Central,,103.829689,0,HUP Standard Upgrading,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Completed,Havelock Road,161022,BUKIT MERAH,BM,CENTRAL REGION,CR,103.829626834637,1.28797543998733
38, 2  ,1.32413197,1/1/1974,Existing,32,Central,941.5,103.8141632,0,HUP Standard Upgrading,Adam Road Food Centre,Completed,Adam Road,289876,NOVENA,NV,CENTRAL REGION,CR,103.814165010384,1.32413422253318
39, 117  ,1.32070994,15/9/1978,Existing,79,East,,103.8870926,82,HUP Standard Upgrading,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Completed,Aljunied Ave 2,380117,GEYLANG,GL,CENTRAL REGION,CR,103.88701902611,1.32064829234987
40,   ,1.27912903,1/1/1983,Existing,134,Central,3539,103.8469849,1,HUP Standard Upgrading,Amoy Street Food Centre (Telok Ayer Food Centre),Completed,Telok Ayer Street,069111,DOWNTOWN CORE,DT,CENTRAL REGION,CR,103.846606784092,1.27921844263268
41, 226D  ,1.36695004,13/10/1976,Existing,10,North,,103.8391876,101,HUP Standard Upgrading,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Completed,Ang Mo Kio Ave 1,564226,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.839231344066,1.36678764523637
42, 341  ,1.36416996,1/1/1979,Existing,32,North,,103.84832,86,HUP Rebuilding,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Completed,Ang Mo Kio Ave 1,560341,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.848254220438,1.36410517096399
43, 409  ,1.36273003,31/7/1979,Existing,40,North,,103.8553772,148,HUP Standard Upgrading,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),Completed,Ang Mo Kio Ave 10,560409,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.855369790045,1.36276891777383
44, 453A  ,1.3682999599999999,11/4/1979,Existing,39,North,,103.8564377,113,HUP Standard Upgrading,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Completed,Ang Mo Kio Ave 10,561453,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.856351437414,1.36824049310006
